updated_description,updated_keywords,__index_level_0__,generated_keywords
"Inability to keep home adequately warm by level of disability (activity limitation), sex and age","Age class, Geopolitical entity (reporting), Sex, Time frequency, Unit of measure",254,"Age class, Geopolitical entity (reporting), Sex, Time frequency, Unit of measure"
"Data from the 'In situ dynamics of populations and diversity of Brassica insularis Moris' Observing Task, part of the Population evolution observatory (EVOPOP) Observation Service of the Montpellier Research Observatory of Environment (OSU OREME, oreme.org).","environmental-monitoring-facilities, evolution, evopop, fauna, flora-biology, genetic-composition-allelic-diversity, habitats-and-biotopes, populations, species-distribution, species-populations-population-structure-by-age-size-class, species-traits-demographic-traits",1546,"biodiversity, biota, environment, evopop, evolution, fauna, flora-biology, interaction-networks, species-distribution"
"Total population having neither a bath, nor a shower in their dwelling - EU-SILC survey","Age class, Geopolitical entity (reporting), Sex, Time frequency, Type of household, Unit of measure",1565,"Age class, Geopolitical entity (reporting), Sex, Time frequency, Unit of measure"
Forest Wood removals,"FMR01, cso, forestry",2330,"FWC02, cso, ecosystem-accounts"
"Unemployment rates by sex, age and educational attainment level (%)","Age class, Geopolitical entity (reporting), Sex, Time frequency, Unit of measure",1047,"Age class, Geopolitical entity (reporting), Sex, Time frequency, Unit of measure"
"This indicator corresponds to the sum of persons who are: at risk of poverty or severely materially or socially deprived or living in households with very low work intensity. Persons are only counted once even if they are present in several sub-indicators. At risk-of-poverty are persons with an equivalised disposable income below the risk-of-poverty threshold, which is set at 60 % of the national median equivalised disposable income (after social transfers). Severely materially or socially deprived persons have living conditions severely constrained by a lack of resources, they experience at least 7 out of 13 following deprivations items: cannot afford i) to pay rent or utility bills, ii) keep home adequately warm, iii) face unexpected expenses, iv) eat meat, fish or a protein equivalent every second day, v) a week holiday away from home, vi) have access to a car/van for personal use; vii) replace worn out furniture; viii) replace worn-out clothes with some new ones; ix) have two pairs of properly fitting shoes; x) spend a small amount of money each week on him/herself (“pocket money”); xi) have regular leisure activities; xii) get together with friends/family for a drink/meal at least once a month; and xiii) have an internet connection. People living in households with very low work intensity are those aged 0-64 living in households where the adults (aged 18-64) work 20% or less of their total work potential during the past year. The indicator is based on the EU-SILC (statistics on income, social inclusion and living conditions).","Age class, Geopolitical entity (reporting), Sex, Time frequency, Unit of measure",98,"Age class, Geopolitical entity (reporting), Sex, Time frequency, Unit of measure"
"In the Infoportal accessibility, institutions with public use are defined with regard to their:
barrierefreien Zugänglichkeit und Erreichbarkeit
der Ausstattung mit barrierefreien Toiletten und deren Beschaffenheit
der Ausstattung mit technischen Hilfsmitteln für Menschen mit Behinderungen
besonderen Angeboten und Leistungen für Menschen mit Behinderung erfasst.
For each recorded institution, there is detailed information, each of which is summarized on its own website. All information is available in three languages (DE, CS and EN).
The info portal has its own website at www.dresden.de/be there. There is an advanced search function for users. 
In addition, data collection is possible for everyone after a one-time registration (button in the info portal). There is a video tutorial that explains the data recording. Institutions covered by other users themselves are usually published only after an on-the-spot check.
Most of the facilities included were taken up by a service provider as part of the INTERREG-funded project ""The Bohemian Saxon Border Area Barrier-free"". The project also financed software development, which was implemented by the in-house IT company of the state capital Dresden.","OGC::WFS, infoFeatureAccessService, infoManagementService, opendata",1410,"accessible-travel, infoportal, institutionen, toilet-accessibility, wheelchair-user"
Outward Foreign Affiliates Statistics,"FAA01, business-sectors, cso",2262,"ITA06, business-sectors, cso"
"The Gini coefficient is defined as the relationship of cumulative shares of the population arranged according to the level of equivalised disposable income, to the cumulative share of the equivalised total disposable income received by them. This indicator is calculated for children aged from 0 to 17 years.","Age class, Geopolitical entity (reporting), Statistical information, Time frequency",205,"Age class, Geopolitical entity (reporting), Sex, Time frequency, Unit of measure"
Number of registered and living cattle in the summering zone by canton in Switzerland and in Liechtenstein. The annual view shows the number of animals as of July 25 (DZV Artikel 98).,"canton, cattle, livestock, summering",989,"canton, cattle, livestock, summering"
"Authorisations for long-term mobility of researchers by reason, type of decision, citizenship and length of validity","Country of citizenship, Decision, Duration, Geopolitical entity (reporting), Reason, Time frequency, Unit of measure",2080,"Country of citizenship, Decision, Duration, Geopolitical entity (reporting), Reason, Time frequency, Unit of measure"
"Authorisations issued for the purpose of seasonal work by economic sector, sex and citizenship","Country of citizenship, Geopolitical entity (reporting), Sex, Time frequency, Unit of measure",1828,"Country of citizenship, Geopolitical entity (reporting), Sex, Time frequency, Unit of measure"
Total Fertility Rates,"MIP01, cso, life-in-ireland",2242,"CIA37, cso, health"
"Data from the ‘Effects of mining pollution on life history traits and biotic interactions of a plant species metallophyte’ Observing Task, part of the Pollution downstream of mining sites observatory (POLLUMINE) Observation Service of the Montpellier Research Observatory of Environment (OSU OREME, oreme.org).","biodiversity-dynamics, biogeochemistry, environmental-monitoring-facilities, fauna, flora-biology, habitats-and-biotopes, metals, microbiology, mine, pollumine, pollution",1573,"environmental-monitoring-facilities, fauna, microbial-and-biological-influencers, mine, mineral-pollutants, plant-species"
"Intraday forecast, day-ahead and week-ahead forecast of photovoltaic power capacity on the Belgian grid. The values are updated every quarter-hour.","Forecast, Near real-time, Production, Wind",1650,"pvc, photovoltaic, sub-grid"
"Dataset owned and provided by OSi as part of the OSI core database 2009. 

Polyline Dataset Representative of disused railways around Ireland","coastal heritage, disused railways, heritage council, land use, ordnance survey ireland, science, society",399,"disused, railways, ireland, opendata"
GDP and main aggregates - international data cooperation quarterly data,"Geopolitical entity (reporting), Seasonal adjustment, Time frequency, Unit of measure",498,"BOP_item, Geopolitical entity (partner), Geopolitics, Seasonal adjustment, Sector and time frequency, Unit of measure"
"Location of Calisthenics areas within SDCC
County. Point data identifying
location and name included.","Calisthenics, Environment, Parks, Parks and Recreation, Recreation, SDCC, dgienvironment",520,"calisthenics, community, health, recreation, public service"
"Produced as part of the Galway
County Development Plan 2022-2028. See Volume 2 and www.galway.ie for further details. The Settlements listed and
contained in Volume2 are identified under the following settlement hierarchy
which is explained further in Chapter 2 Core Strategy, Settlement Strategy and
Housing Strategy. Metropolitan Area Strategic
Plan: Baile Chláir Bearna Oranmore Briarhill Urban Framework Plan Garraun Urban Framework Plan Small Growth Towns: Clifden Headford Maigh Cuilinn Oughterard Portumna Small Growth Villages An Cheathrú Rua An Spidéal Ballygar Dunmore Glenamadd<o:p></o:p> Kinvara Moylough Additional
Zonings Opposite
Galway Airport Sruthan
Quay (An Cheathrú Rua) Galway County Council provides this information with the understanding that it is not guaranteed to be accurate, correct, or complete. Galway County Council accepts no liability for any loss or damage suffered by those using this data for any purpose.","2022, CDP 2022, Development Plan, Galway, Galway County Council, Planning, Planning and Development, Zoning, dgihousing",763,"2022, CDP 2022-28, Development Plan, Environment, Galway, Housing and Zoning, Planning, Planning and Development, Settlements"
Gross weight of goods transported to/from main ports - Cyprus,"Direction of flow, Maritime entity (partner), Maritime entity (reporting), Time frequency, Type of cargo, Unit of measure",1634,"Geopolitical entity (reporting), Time frequency, Type of cargo, Unit of measure"
"This file contains original variables from Theme 15 PC and Internet Access from Census 2011 and a series of additional variables produced by AIRO such as percentage rates, ratios etc. The file includes data on households with Cars, Personal Computers and Internet Access for the 18,488 Small Areas in the Republic of Ireland.","economy, human population, ireland, planningcadastre, population density, population distribution, population growth, population structure, population trend, society",427,"economy, information society, ireland, planningcadastre, population density, population distribution, population growth, population structure, population trend, society"
Excess mortality by month,"Geopolitical entity (reporting), Time frequency, Unit of measure",899,"Geopolitical entity (reporting), Time frequency, Unit of measure"
This is an interactive interactive Map of the following Wifi Entaties in Fingal County Council. Small Census Area 2011 Townlands Electoral Division County Boundary Click each layer to see individually or a whole,"Admin Boundaries, Corporate, County Boundary, Electoral Divisions, Environment and Energy, Government, Government and Participation, LEA, Townlands, Wifi",534,"Electoral Divisions, Electorate, Districts, Fingal, FCC, Open Data, Wifi"
"Women who have experienced violence by a non-partner, by type of violence","Geopolitical entity (reporting), Time frequency, Type of violence, Unit of measure",3094,"Geopolitical entity (reporting), Time frequency, Type of violence, Unit of measure"
"Maigh Cuilinn Local Area Plan 2013 - 2023. Galway County Council provides this information with the understanding that it is not guaranteed to be accurate, correct, or complete. Galway County Council accepts no liability for any loss or damage suffered by those using this data for any purpose.","Galway, Housing and Zoning, Local Area Plan, Maigh Cuilinn, Moycullen, Planning, Planning and Development, Zoning, dgihousing",772,"Maigh Cuilinn, Housing and Zoning, Local Area Plan, Planning, Planning and Development, ZonING"
In-work at-risk-of-poverty rate by household type - EU-SILC survey,"Geopolitical entity (reporting), Time frequency, Type of household, Unit of measure",107,"Geopolitical entity (reporting), Time frequency, Type of household, Unit of measure"
Financial aid to students by education level - as % of total public expenditure,"Geopolitical entity (reporting), Time frequency, Unit of measure",2036,"Geopolitical entity (reporting), Sex, Time frequency, Unit of measure"
"The product shows tree canopy cover loss in Germany between January 2018 and April 2021 at monthly temporal and 10 m spatial resolution. The basic principle behind this map is to compute monthly composites of the disturbance index (DI, Healey et al. 2005), a spectral index sensitive to forest disturbance, from all available Sentinel-2 and Landsat-8 data with less than 80 % cloud cover. These monthly composites are then compared to a median composite of the DI for 2017, which serves as a reference. After applying a threshold to the difference image, the time series of detected losses is checked for consistency. Only losses recorded continuously in all observations of a pixel until the end of the time series are considered. The dataset does not differentiate between the drivers of the losses. It depicts areas of natural disturbances (windthrow, fire, droughts, insect infestation) as well as sanitation and salvage logging, and regular forest harvest. The full description of the method and results can be found in Thonfeld et al. (2022).","canopy-cover-loss, disturbance-index, drought, forest, germany, land-cover, landsat-8, opendata, sentinel-2",3122,"forest, disturbance-index, sentinel-2, time-series-analysis, woodland"
